"Nombre", "Autor", "ISBN-10", "ISBN-13", "Editorial", "Páginas", "Imagen"
"Coraline","Dave Mckean",,,"HarperCollins; Illustrated edición (6 Octubre 2009)",,
"Dormir en un mar de estrellas (Umbriel narrativa) (Spanish Edition)","CARLOS LOSCERTALES MARTÍNEZ",,,"Umbriel (3 Noviembre 2020)",,
"La ultima batalla: The Last Battle (Spanish edition) (Las cronicas de Narnia, 7)",,"0060884312","978-0060884314","HarperCollins Espanol; Illustrated edición (18 Octubre 2005)","272 páginas","https://images-na.ssl-images-amazon.com/images/I/518TyUa7jRL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"Winter Turning (Wings of Fire, Book 7) (7)",,"0545685397","978-0545685399","Scholastic Inc.; Reprint edición (27 Diciembre 2016)","336 páginas","https://images-na.ssl-images-amazon.com/images/I/51QCPOJc0gL._SX342_BO1,204,203,200_.jpg"
"Pete the Cat: Out of This World","Kimberly Dean","0062404431","978-0062404435","HarperFestival; Illustrated edición (20 Junio 2017)","24 páginas","https://images-na.ssl-images-amazon.com/images/I/51a3w7-3DaL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"Mangle: Tomo 1 (La Isla de San Juan Bautista) (Spanish Edition)",,,"979-8768625849","Independently published (17 Noviembre 2021)","350 páginas","https://images-na.ssl-images-amazon.com/images/I/412U2TEd7XL._SX322_BO1,204,203,200_.jpg"
"The Beast Within: A Tale of Beauty's Prince (Villains)","Disney Storybook Art Team","1423159128","978-1423159124","Disney Press (22 Julio 2014)","224 páginas","https://images-na.ssl-images-amazon.com/images/I/41CzFGUUCBL._SX383_BO1,204,203,200_.jpg"
"Ojos azules (Contemporanea) (Spanish Edition)",,"8497932668","978-8497932660","DEBOLSILLO; 003 edición (21 Abril 2021)",,"https://images-na.ssl-images-amazon.com/images/I/51YPPLiLXPL._SX327_BO1,204,203,200_.jpg"
"Hijos de sangre y hueso (El legado de Orïsha 1) (Spanish Edition)",,"8427213417","978-8427213418","Molino; 1o edición (12 Abril 2018)","624 páginas","https://images-na.ssl-images-amazon.com/images/I/51EMlpk4UWL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"A Map of Days (Miss Peregrine's Peculiar Children)",,"0735231494","978-0735231498","Dutton Books for Young Readers; Reprint edición (15 Octubre 2019)","496 páginas","https://images-na.ssl-images-amazon.com/images/I/51a1vhV2RgL._SX318_BO1,204,203,200_.jpg"
"Circe",,"0316556327","978-0316556323","Back Bay Books; Reprint edición (14 Abril 2020)","416 páginas","https://images-na.ssl-images-amazon.com/images/I/51jX-ncTDML._SX331_BO1,204,203,200_.jpg"
"How to Draw Cool Stuff: Shading, Textures and Optical Illusions","Catherine Holmes","0692382518","978-0692382516","Library Tales Publishing, Incorporated; 1er edición (7 Marzo 2015)","239 páginas","https://images-na.ssl-images-amazon.com/images/I/510pIUcJxoL._SX258_BO1,204,203,200_.jpg"
"The Red Scrolls of Magic (1) (The Eldest Curses)",,"1481495097","978-1481495097","Margaret K. McElderry Books; Reprint edición (5 Mayo 2020)","384 páginas","https://images-na.ssl-images-amazon.com/images/I/51nU9TKJ+TL._SX331_BO1,204,203,200_.jpg"
"The Folk of the Air Complete Paperback Gift Set",,"0316318094","978-0316318099","Little, Brown Books for Young Readers; Gift edición (12 Octubre 2021)","1120 páginas","https://images-na.ssl-images-amazon.com/images/I/411GWGjowbS._SX258_BO1,204,203,200_.jpg"
"Fablehaven, Book 1","Brandon Mull",,,,,
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 11","Shirotaka",,,"Seven Seas Entertainment (6 Mayo 2021)",,
"Una herencia peligrosa / A Dangerous Legacy (AMANDA BLACK) (Spanish Edition)","Juan Gomez-Jurado","8417921370","978-8417921378","B DE BLOCK; 001 edición (18 Mayo 2021)","192 páginas","https://images-na.ssl-images-amazon.com/images/I/51eGXehyLnL._SX344_BO1,204,203,200_.jpg"
"Presagio (Almas Oscuras #2) (Almas Oscuras/ Dark Souls, 2) (Spanish Edition)",,"8417421068","978-8417421069","Titania (2 Febrero 2021)","480 páginas","https://images-na.ssl-images-amazon.com/images/I/51O66E1wzmL._SX331_BO1,204,203,200_.jpg"
"Monster Hunter: World - Official Complete Works","VIZ Media","1974711099","978-1974711093","VIZ Media LLC (11 Agosto 2020)","560 páginas","https://images-na.ssl-images-amazon.com/images/I/61K8XdbO6bL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"A Storm of Swords: A Song of Ice and Fire, Book 3","Roy Dotrice",,,,,
"Un Mundo Que Cambia: Patriotismo Frente a Agenda Globalista (Spanish Edition)","Cesar Vidal","1950604020","978-1950604029","Agustin Agency (1 Julio 2020)","384 páginas","https://images-na.ssl-images-amazon.com/images/I/41XXMoZq2CL._SX315_BO1,204,203,200_.jpg"
"The No-Fuss Bread Machine Cookbook: Hands-Off Recipes for Perfect Homemade Bread",,"1623157536","978-1623157531","Rockridge Press (16 Agosto 2016)","236 páginas","https://images-na.ssl-images-amazon.com/images/I/51Zl1YnbAzL._SX403_BO1,204,203,200_.jpg"
"Harry Potter y el misterio del príncipe (Harry Potter 6)","J.K. Rowling",,,,,
"Thomas Kinkade Disney Princesses Libro de colorear – Belle, blanco nieve, Ariel +",,"1449497071","978-1449497071","Andrews McMeel Publishing (9 Abril 2019)","42 páginas","https://images-na.ssl-images-amazon.com/images/I/61d5xUrRNbL._SX258_BO1,204,203,200_.jpg"
"Sketching from the Imagination: Characters",,"9781909414396","978-1909414396","3DTotal Publishing (28 Febrero 2017)","320 páginas","https://images-na.ssl-images-amazon.com/images/I/51w1eqa5bYL._SX258_BO1,204,203,200_.jpg"
"Daddy Biker Bear: A Bear Shifter Romance (Bears Of Forest Heights Book 1)",,,,,,
"Dragon Age: The World of Thedas Volume 2","Various","1616555017","978-1616555016","Dark Horse Books; Illustrated edición (12 Mayo 2015)","312 páginas","https://images-na.ssl-images-amazon.com/images/I/51DD9j4qRDL._SX376_BO1,204,203,200_.jpg"
"Matilda",,"0142410373","978-0142410370","Puffin Books; Reprint edición (16 Agosto 2007)","240 páginas","https://images-na.ssl-images-amazon.com/images/I/51vHLdb4CYL._SX323_BO1,204,203,200_.jpg"
"El amuleto perdido / The Lost Amulet (AMANDA BLACK) (Spanish Edition)","Juan Gomez-Jurado","8418054328","978-8418054327","B DE BLOCK; 001 edición (19 Octubre 2021)","192 páginas","https://images-na.ssl-images-amazon.com/images/I/51Wa+2QTjiS._SX344_BO1,204,203,200_.jpg"
"Demon Slayer: Kimetsu no Yaiba, Vol. 1 (1)",,"1974700526","978-1974700523","VIZ Media LLC; Illustrated edición (3 Julio 2018)","192 páginas","https://images-na.ssl-images-amazon.com/images/I/61RLgk2k-1L._SX331_BO1,204,203,200_.jpg"
"Brian Froud's World of Faerie",,"1683835913","978-1683835912","Insight Editions; Expanded edición (29 Enero 2019)","192 páginas","https://images-na.ssl-images-amazon.com/images/I/51cVwC2rg5L._SX362_BO1,204,203,200_.jpg"
"Toilet-bound Hanako-kun, Vol. 1 (Toilet-bound Hanako-kun, 1)",,"1975332873","978-1975332877","Yen Press; Illustrated edición (28 Enero 2020)","180 páginas","https://images-na.ssl-images-amazon.com/images/I/51yDF8b+8jL._SX336_BO1,204,203,200_.jpg"
"La Profecía de las Piedras Sagradas: Una novela de fantasía, misterio y suspenso (El Circulo Protector nº 5) (Spanish Edition)",,,,,,
"A Feast for Crows: A Song of Ice and Fire, Book 4","Roy Dotrice",,,,,
"Negro Butler, Vol. 4 (2011 – 01 – 25)",,"031608428X","978-0316084284","Yen Press; Illustrated edición (25 Enero 2011)","192 páginas","https://images-na.ssl-images-amazon.com/images/I/51fke2zqWoL._SX332_BO1,204,203,200_.jpg"
"Tales from Kingfountain, Muirwood, and Beyond: The Worlds of Jeff Wheeler","Jeff Wheeler",,,,,
"Cien años de soledad / One Hundred Years of Solitude (Spanish Edition)",,"0307474720","978-0307474728","Vintage Espanol; Spanish edición (22 Septiembre 2009)","496 páginas","https://images-na.ssl-images-amazon.com/images/I/51g1mv8VEnL._SX322_BO1,204,203,200_.jpg"
"Moby-Dick: Spanish Edition/(Clásico de la literatura estadounidense), LIbros Valle",,,"979-8473483963","Independently published (7 Septiembre 2021)","646 páginas","https://images-na.ssl-images-amazon.com/images/I/41wB55PezmL._SX346_BO1,204,203,200_.jpg"
"Tormenta de espadas [A Storm of Swords]: Canción de hielo y fuego, Libro 3","Victor Manuel Espinoza",,,,,
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 1","Rifujin Na Magonote","1642751383","978-1642751383","Seven Seas (21 Mayo 2019)","320 páginas","https://images-na.ssl-images-amazon.com/images/I/51DdudgjwuS._SX350_BO1,204,203,200_.jpg"
"El rey que fue y será (Spanish Edition)","T. H. White","8417743472","978-8417743475","Atico de los Libros; 1er edición (13 Julio 2021)","832 páginas","https://images-na.ssl-images-amazon.com/images/I/41L3FkzxZaS._SX319_BO1,204,203,200_.jpg"
"Disney Frozen 2 - I'm Ready to Read with Olaf and Friends - PI Kids (Play-A-Sound)",,"150374602X","978-1503746022","Phoenix International Publications, Inc.; Media tie-in edición (15 Octubre 2019)","24 páginas","https://images-na.ssl-images-amazon.com/images/I/5135ebB1wcL._SX258_BO1,204,203,200_.jpg"
"Imprinted (Magic ex Libris)",,"1982090154","978-1982090159","CreateSpace Independent Publishing Platform (8 Enero 2018)","67 páginas","https://images-na.ssl-images-amazon.com/images/I/51QL20jQ2OL._SX311_BO1,204,203,200_.jpg"
"The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat, Vol. 1 (light novel) (The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat (light novel))","Rui Tsukiyo",,,"Yen On (29 Diciembre 2020)",,
"A Whole New World: A Twisted Tale","Liz Braswell","1423159128","978-1484707326","Disney-Hyperion; Reprint edición (26 Julio 2016)","400 páginas","https://images-na.ssl-images-amazon.com/images/I/41wDeLgvtQL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 10","Shirotaka",,,"Seven Seas Entertainment (25 Marzo 2021)",,
