"Nombre", "Autor", "ISBN-10", "ISBN-13", "Editorial", "Páginas", "Imagen"
"Fazbear Frights Four Book Box Set: An AFK Book Series (Five Nights At Freddy's)","Elley Cooper","1338715801","978-1338715804","AFK (1 Septiembre 2020)",,"https://images-na.ssl-images-amazon.com/images/I/51WvVsP+-3L._SX258_BO1,204,203,200_.jpg"
"Trilogía Nacidos de la bruma [Mistborn] (pack con: El imperio final | El Pozo de la ascensión | El héroe de las eras): La serie de fantasía épica que ha conquistado el mundo (Spanish Edition)",,,,"NOVA (10 Julio 2019)",,
"La pirámide roja (Las cronicas de los Kane) (Spanish Edition)",,"8484417557","978-8484417552","Montena; 015 edición (23 Julio 2019)","480 páginas","https://images-na.ssl-images-amazon.com/images/I/51I6ENwC-aL._SX349_BO1,204,203,200_.jpg"
"La vida que no elegi (Spanish Edition)",,"1533390207","978-1533390202","CreateSpace Independent Publishing Platform; 1er edición (16 Abril 2016)","205 páginas","https://images-na.ssl-images-amazon.com/images/I/41opUox0ouL._SX331_BO1,204,203,200_.jpg"
"Flor de invierno: Libro juvenil de Aventuras, Suspense y Fantasía (a partir de 12 años) (Piedras Verdes nº 2) (Spanish Edition)",,,,,,
"Peter Pan (MinaLima Edition) (lllustrated with Interactive Elements)",,"0062362224","978-0062362223","Harper Design; Illustrated edición (2 Junio 2015)","256 páginas","https://images-na.ssl-images-amazon.com/images/I/51Y3qO8HF2S._SX317_BO1,204,203,200_.jpg"
"Harry Potter: Film Vault: The Complete Series: Special Edition Boxed Set",,"1647221080","978-1647221089","Insight Editions; Special edición (7 Diciembre 2021)","768 páginas","https://images-na.ssl-images-amazon.com/images/I/51QlqqKydoL._SX258_BO1,204,203,200_.jpg"
"El Señor de los Anillos 2 (Movie Ed): Las dos Torres (Senor de los Anillos) (Spanish Edition)",,"6070712730","978-6070712739","Booket (13 Noviembre 2012)","480 páginas","https://images-na.ssl-images-amazon.com/images/I/51slbpKPmFL._SX327_BO1,204,203,200_.jpg"
"El ladrón del rayo/ The Lightning Thief (Percy Jackson y los dioses del olimpo / Percy Jackson and the Olympians) (Spanish Edition)",,"8498386268","978-8498386264","Salamandra; 022 edición (4 Diciembre 2014)","285 páginas","https://images-na.ssl-images-amazon.com/images/I/516iy4Kb5AL._SX312_BO1,204,203,200_.jpg"
"Fantasy Island: Colonialism, Exploitation, and the Betrayal of Puerto Rico",,"1568588992","978-1568588995","Bold Type Books; Illustrated edición (10 Septiembre 2019)","352 páginas","https://images-na.ssl-images-amazon.com/images/I/517dmXR3A4L._SX321_BO1,204,203,200_.jpg"
"Harry Potter and the Chamber of Secrets, Book 2","J.K. Rowling",,,,,
"Harry Potter and the Order of the Phoenix, Book 5","J.K. Rowling",,,,,
"Tercer viaje al Reino de la Fantasía: ¡Libro con olores! (Geronimo Stilton) (Spanish Edition)","Gerónimo Stilton","8408081217","978-8408081210","Destino Infantil & Juvenil; 1ª ed 1ª imp edición (21 Octubre 2008)","390 páginas","https://images-na.ssl-images-amazon.com/images/I/51IYL6AI1TL._SX329_BO1,204,203,200_.jpg"
"Harry Potter and the Chamber of Secrets (MinaLima Edition) (Illustrated edition) (2)","J. K. Rowling","1338716530","978-1338716535","Scholastic Inc.; Illustrated edición (26 Octubre 2021)","400 páginas","https://images-na.ssl-images-amazon.com/images/I/51LIbvlkGVL._SX308_BO1,204,203,200_.jpg"
"Harry Potter and the Prisoner of Azkaban, Book 3","J.K. Rowling",,,,,
"Seduciendo al Vampiro (6 Libros En 1) Colección Especial De Vampiros En Español: Libros de Novelas de Vampiros. Las mejores historias de Suspenso, Romance y Fantasía Paranormal (Spanish Edition)",,,"979-8609922205","Independently published (5 Febrero 2020)","679 páginas","https://images-na.ssl-images-amazon.com/images/I/519rhwr0HJL._SX331_BO1,204,203,200_.jpg"
"Songs of Valor (Libri Valoris Book 2)",,,,"New Mythology Press (16 Marzo 2021)",,
"The Legend of Zelda: Hyrule Historia","Patrick Thorpe","1616550414","978-1616550417","Dark Horse Books; 5th Printing edición (29 Enero 2013)","280 páginas","https://images-na.ssl-images-amazon.com/images/I/510D-hz9wuL._SX375_BO1,204,203,200_.jpg"
"Harry Potter and the Goblet of Fire, Book 4","J.K. Rowling",,,,,
"The Heroes of Olympus Hardcover Boxed Set","John Rocco","1484720725","978-1484720721","Disney-Hyperion; Box edición (7 Octubre 2014)","2404 páginas","https://images-na.ssl-images-amazon.com/images/I/51eRZIicTyL._SY339_BO1,204,203,200_.jpg"
"100 Books You Must Read Before You Die [volume 2]","Oscar Wilde",,,"KTHTK (3 Diciembre 2021)",,
"Danza de dragones / Dance of Dragons: Cancion De Hielo Y Fuego V (Spanish Edition)",,"0307951227","978-0307951229","Vintage Espanol; Illustrated edición (25 Septiembre 2012)","1136 páginas","https://images-na.ssl-images-amazon.com/images/I/51+2qIxIVTL._SX322_BO1,204,203,200_.jpg"
"El camino de los reyes [The Way of Kings]: El Archivo de las Tormentas 1 [The Stormlight Archive, Book 1]","Brandon Sanderson",,,,,
"Naruto: The Official Character Data Book",,"9781421541259","978-1421541259","VIZ Media LLC; Shonen Jump Profiles ed. edición (10 Enero 2012)","360 páginas","https://images-na.ssl-images-amazon.com/images/I/51PqnJfjLXL._SX314_BO1,204,203,200_.jpg"
"Libriomancer: Magic ex Libris, Book 1","Jim C. Hines",,,,,
"The City of Mist: Stories","Carlos Ruiz Zafon","0063118092","978-0063118096","Harper Perennial (23 Noviembre 2021)","176 páginas","https://images-na.ssl-images-amazon.com/images/I/41zZaYHPqXL._SX330_BO1,204,203,200_.jpg"
"Expedition: Being an Account in Words and Artwork of the 2358 A.D. Voyage to Darwin IV",,"1635619513","978-1635619515","Echo Point Books & Media; Reprint ed. edición (9 Octubre 2020)","196 páginas","https://images-na.ssl-images-amazon.com/images/I/5104xaewTOL._SX367_BO1,204,203,200_.jpg"
"The Song of Achilles: A Novel",,"0062060627","978-0062060624","Ecco; 37696th edición (28 Agosto 2012)","416 páginas","https://images-na.ssl-images-amazon.com/images/I/514aE49swxL._SX330_BO1,204,203,200_.jpg"
"Trials of Apollo, The 5-Book Hardcover Boxed Set",,"1484780639","978-1484780633","Disney-Hyperion (6 Octubre 2020)","1600 páginas","https://images-na.ssl-images-amazon.com/images/I/513E513io6L._SY380_BO1,204,203,200_.jpg"
"Primer verano en Piedras Verdes: novela juvenil de aventuras, suspense y fantasia (Volume 1) (Spanish Edition)",,"1515085392","978-1515085393","CreateSpace Independent Publishing Platform; 1er edición (23 Septiembre 2015)","264 páginas","https://images-na.ssl-images-amazon.com/images/I/41UzF9pKTPS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"The Hobbit: Or There and Back Again (Lord of the Rings)",,,,"Mariner Books (15 Febrero 2012)",,
"Scholastic Harry Potter - Caja rígida para libros (1-7)",,"1408868377","978-1408868379","Educa Books (8 Octubre 2015)","3872 páginas","https://images-na.ssl-images-amazon.com/images/I/51cfkBej8tL._SY280_BO1,204,203,200_.jpg"
"The Handmaid's Tale",,"038549081X","978-0385490818","Knopf Doubleday Publishing Group; 1st Anchor Books edición (16 Marzo 1998)","311 páginas","https://images-na.ssl-images-amazon.com/images/I/41p0u2G9hbL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"The Lord of the Rings Illustrated Edition",,"0358653037","978-0358653035","Mariner Books; Illustrated edición (2 Noviembre 2021)","1248 páginas","https://images-na.ssl-images-amazon.com/images/I/41vN31PD7SL._SX323_BO1,204,203,200_.jpg"
"Serena Valentino's Villains 3 PBK Box Set",,"1368076920","978-1368076920","Disney-Hyperion (7 Septiembre 2021)","1376 páginas","https://images-na.ssl-images-amazon.com/images/I/41FwAd-UNcL._SX258_BO1,204,203,200_.jpg"
"El único conflicto: Una fantasía urbana sobre la lucha entre ángeles y demonios. (Conflictos universales nº 4) (Spanish Edition)",,,,,,
"Hush, Hush (Spanish Edition)",,"8420434078","978-8420434070","Alfaguara Juvenil; 001 edición (23 Abril 2019)","368 páginas","https://images-na.ssl-images-amazon.com/images/I/41lmsZbKgnL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
